time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
0, 0, 60, 163, 100, 407, 0, 56, 2.716666666666667, 0
0, 1, 90, 237, 100, 453, 0, 63, 2.6333333333333333, 0
1, 2, 120, 325, 100, 455, 0, 63, 2.72, 0
1, 3, 150, 391, 100, 457, 0, 63, 2.57, 0
1, 4, 180, 469, 99, 461, 0, 64, 2.51, 0
1, 5, 210, 523, 100, 538, 0, 78, 2.26, 0
1, 6, 240, 584, 100, 538, 0, 78, 2.11, 0
2, 7, 270, 643, 99, 539, 0, 78, 2.02, 0
2, 8, 300, 719, 100, 539, 0, 78, 2.18, 0
2, 9, 330, 787, 100, 539, 0, 78, 2.21, 0
2, 10, 360, 868, 100, 539, 0, 78, 2.5, 0
3, 11, 390, 969, 99, 543, 0, 78, 2.8, 0
3, 12, 420, 1040, 100, 543, 0, 78, 2.72, 0
3, 13, 450, 1103, 99, 554, 0, 79, 2.66, 0
3, 14, 480, 1185, 100, 554, 0, 79, 2.6, 0
3, 15, 510, 1259, 99, 556, 0, 79, 2.46, 0
3, 16, 540, 1332, 100, 559, 0, 80, 2.5, 0
3, 17, 570, 1424, 100, 559, 0, 80, 2.77, 0
4, 18, 600, 1513, 99, 559, 0, 80, 2.79, 0
4, 19, 630, 1587, 99, 559, 0, 80, 2.85, 0
4, 20, 660, 1667, 99, 559, 0, 80, 2.8, 0
4, 21, 690, 1746, 99, 559, 0, 80, 2.64, 0
4, 22, 720, 1817, 99, 559, 0, 80, 2.51, 0
4, 23, 750, 1913, 100, 559, 0, 80, 2.72, 0
5, 24, 780, 1995, 98, 561, 0, 80, 2.77, 0
5, 25, 810, 2090, 99, 561, 0, 80, 2.97, 0
5, 26, 840, 2192, 99, 566, 0, 80, 3.1, 0
5, 27, 870, 2275, 100, 566, 0, 80, 3.04, 0
5, 28, 900, 2355, 99, 566, 0, 80, 3.08, 0
6, 29, 930, 2439, 100, 574, 0, 82, 2.9, 0
6, 30, 960, 2521, 99, 574, 0, 82, 2.83, 0
6, 31, 990, 2603, 100, 574, 0, 82, 2.68, 0
6, 32, 1020, 2702, 100, 574, 0, 82, 2.96, 0
6, 33, 1050, 2781, 99, 574, 0, 82, 2.8, 0
6, 34, 1080, 2864, 99, 574, 0, 82, 2.89, 0
6, 35, 1110, 2958, 99, 574, 0, 82, 2.96, 0
7, 36, 1140, 3042, 99, 574, 0, 82, 2.89, 0
7, 37, 1170, 3116, 100, 574, 0, 82, 2.76, 0
7, 38, 1200, 3192, 98, 574, 0, 82, 2.68, 0
7, 39, 1230, 3288, 99, 574, 0, 82, 2.71, 0
7, 40, 1260, 3374, 99, 574, 0, 82, 2.91, 0
8, 41, 1290, 3461, 100, 574, 0, 82, 3.04, 0
8, 42, 1320, 3545, 100, 574, 0, 82, 2.81, 0
8, 43, 1350, 3631, 99, 574, 0, 82, 2.89, 0
8, 44, 1380, 3744, 99, 574, 0, 82, 3.11, 0
8, 45, 1410, 3823, 99, 574, 0, 82, 3.05, 0
9, 46, 1440, 3911, 99, 574, 0, 82, 3.06, 0
9, 47, 1470, 3983, 100, 574, 0, 82, 2.84, 0
9, 48, 1500, 4055, 99, 574, 0, 82, 2.6, 0
9, 49, 1530, 4137, 99, 574, 0, 82, 2.61, 0
9, 50, 1560, 4209, 99, 574, 0, 82, 2.46, 0
9, 51, 1590, 4290, 99, 574, 0, 82, 2.52, 0
9, 52, 1620, 4364, 99, 574, 0, 82, 2.55, 0
9, 53, 1650, 4444, 99, 574, 0, 82, 2.57, 0
10, 54, 1680, 4542, 99, 574, 0, 82, 2.76, 0
10, 55, 1710, 4638, 100, 574, 0, 82, 2.96, 0
10, 56, 1740, 4718, 99, 574, 0, 82, 2.99, 0
10, 57, 1770, 4803, 99, 574, 0, 82, 2.99, 0
10, 58, 1800, 4888, 99, 574, 0, 82, 2.77, 0
10, 59, 1830, 4968, 99, 576, 0, 82, 2.83, 0
11, 60, 1860, 5049, 99, 576, 0, 82, 2.71, 0
11, 61, 1890, 5149, 100, 576, 0, 82, 2.82, 0
11, 62, 1920, 5246, 99, 582, 0, 83, 3.07, 0
11, 63, 1950, 5335, 99, 590, 0, 85, 3.11, 0
11, 64, 1980, 5430, 99, 590, 0, 85, 3.13, 0
11, 65, 2010, 5532, 100, 590, 0, 85, 3.14, 0
11, 66, 2040, 5627, 99, 590, 0, 85, 3.26, 0
12, 67, 2070, 5710, 98, 590, 0, 85, 3.15, 0
12, 68, 2100, 5778, 97, 590, 0, 85, 2.95, 0
12, 69, 2130, 5853, 99, 590, 0, 85, 2.65, 0
12, 70, 2160, 5941, 99, 590, 0, 85, 2.56, 0
12, 71, 2190, 6019, 100, 590, 0, 85, 2.65, 0
12, 72, 2220, 6099, 99, 590, 0, 85, 2.66, 0
12, 73, 2250, 6195, 99, 590, 0, 85, 2.8, 0
12, 74, 2280, 6264, 99, 590, 0, 85, 2.77, 0
13, 75, 2310, 6341, 99, 590, 0, 85, 2.78, 0
13, 76, 2340, 6412, 99, 590, 0, 85, 2.53, 0
13, 77, 2370, 6481, 99, 590, 0, 85, 2.41, 0
13, 78, 2400, 6564, 99, 590, 0, 85, 2.52, 0
13, 79, 2430, 6632, 99, 590, 0, 85, 2.43, 0
13, 80, 2460, 6709, 99, 591, 0, 85, 2.53, 0
13, 81, 2490, 6779, 99, 591, 0, 85, 2.48, 0
14, 82, 2520, 6863, 99, 591, 0, 85, 2.49, 0
14, 83, 2550, 6936, 99, 591, 0, 85, 2.66, 0
14, 84, 2580, 7003, 99, 591, 0, 85, 2.52, 0
14, 85, 2610, 7076, 99, 591, 0, 85, 2.42, 0
14, 86, 2640, 7165, 99, 591, 0, 85, 2.55, 0
14, 87, 2670, 7239, 99, 591, 0, 85, 2.6, 0
14, 88, 2700, 7317, 99, 591, 0, 85, 2.66, 0
14, 89, 2730, 7403, 99, 591, 0, 85, 2.72, 0
15, 90, 2760, 7492, 99, 591, 0, 85, 2.79, 0
15, 91, 2790, 7569, 99, 591, 0, 85, 2.81, 0
15, 92, 2820, 7635, 99, 591, 0, 85, 2.61, 0
15, 93, 2850, 7736, 99, 591, 0, 85, 2.66, 0
15, 94, 2880, 7820, 99, 591, 0, 85, 2.74, 0
15, 95, 2910, 7894, 99, 591, 0, 85, 2.8, 0
15, 96, 2940, 7976, 99, 591, 0, 85, 2.92, 0
15, 97, 2970, 8056, 99, 591, 0, 85, 2.6, 0
16, 98, 3000, 8139, 99, 591, 0, 85, 2.64, 0
16, 99, 3030, 8223, 99, 591, 0, 85, 2.74, 0
16, 100, 3060, 8318, 99, 591, 0, 85, 2.8, 0
16, 101, 3090, 8396, 99, 591, 0, 85, 2.85, 0
16, 102, 3120, 8474, 99, 591, 0, 85, 2.77, 0
16, 103, 3150, 8546, 99, 591, 0, 85, 2.65, 0
17, 104, 3180, 8629, 99, 591, 0, 85, 2.52, 0
17, 105, 3210, 8713, 99, 591, 0, 85, 2.64, 0
17, 106, 3240, 8790, 99, 591, 0, 85, 2.68, 0
17, 107, 3270, 8882, 99, 591, 0, 85, 2.81, 0
17, 108, 3300, 8961, 99, 591, 0, 85, 2.76, 0
17, 109, 3330, 9037, 99, 591, 0, 85, 2.77, 0
17, 110, 3360, 9116, 99, 591, 0, 85, 2.71, 0
17, 111, 3390, 9185, 99, 591, 0, 85, 2.46, 0
18, 112, 3420, 9277, 99, 591, 0, 85, 2.6, 0
18, 113, 3450, 9356, 99, 591, 0, 85, 2.72, 0
18, 114, 3480, 9444, 99, 591, 0, 85, 2.79, 0
18, 115, 3510, 9539, 99, 591, 0, 85, 2.99, 0
18, 116, 3540, 9629, 99, 591, 0, 85, 3.06, 0
18, 117, 3570, 9710, 99, 591, 0, 85, 2.93, 0
18, 118, 3600, 9793, 99, 591, 0, 85, 2.91, 0
18, 119, 3630, 9870, 99, 591, 0, 85, 2.8, 0
19, 120, 3660, 9949, 99, 591, 0, 85, 2.66, 0
19, 121, 3690, 10028, 99, 591, 0, 85, 2.62, 0
19, 122, 3720, 10104, 99, 591, 0, 85, 2.56, 0
19, 123, 3750, 10166, 99, 591, 0, 85, 2.48, 0
19, 124, 3780, 10250, 99, 591, 0, 85, 2.51, 0
19, 125, 3810, 10323, 99, 591, 0, 85, 2.52, 0
19, 126, 3840, 10394, 99, 592, 0, 85, 2.47, 0
19, 127, 3870, 10472, 99, 592, 0, 85, 2.44, 0
19, 128, 3900, 10559, 99, 592, 0, 85, 2.54, 0
20, 129, 3930, 10631, 99, 592, 0, 85, 2.65, 0
20, 130, 3960, 10702, 99, 592, 0, 85, 2.61, 0
20, 131, 3990, 10782, 99, 592, 0, 85, 2.48, 0
20, 132, 4020, 10856, 99, 592, 0, 85, 2.46, 0
20, 133, 4050, 10926, 99, 592, 0, 85, 2.49, 0
20, 134, 4080, 11011, 99, 592, 0, 85, 2.56, 0
20, 135, 4110, 11084, 99, 593, 0, 85, 2.5, 0
20, 136, 4140, 11170, 99, 593, 0, 85, 2.68, 0
21, 137, 4170, 11250, 99, 593, 0, 85, 2.73, 0
21, 138, 4200, 11326, 99, 593, 0, 85, 2.64, 0
21, 139, 4230, 11401, 99, 594, 0, 85, 2.59, 0
21, 140, 4260, 11475, 99, 594, 0, 85, 2.48, 0
21, 141, 4290, 11562, 99, 594, 0, 85, 2.55, 0
21, 142, 4320, 11650, 99, 595, 0, 85, 2.73, 0
21, 143, 4350, 11743, 99, 595, 0, 85, 2.96, 0
21, 144, 4380, 11824, 99, 595, 0, 85, 2.9, 0
21, 145, 4410, 11900, 99, 595, 0, 85, 2.83, 0
21, 146, 4440, 11977, 99, 595, 0, 85, 2.68, 0
22, 147, 4470, 12043, 99, 595, 0, 85, 2.53, 0
22, 148, 4500, 12113, 99, 595, 0, 85, 2.41, 0
22, 149, 4530, 12196, 99, 595, 0, 85, 2.42, 0
22, 150, 4560, 12265, 99, 595, 0, 85, 2.44, 0
22, 151, 4590, 12338, 100, 595, 0, 85, 2.51, 0
22, 152, 4620, 12409, 99, 595, 0, 85, 2.36, 0
22, 153, 4650, 12501, 99, 595, 0, 85, 2.58, 0
22, 154, 4680, 12561, 99, 595, 0, 85, 2.49, 0
22, 155, 4710, 12651, 99, 595, 0, 85, 2.59, 0
22, 156, 4740, 12731, 99, 595, 0, 85, 2.64, 0
23, 157, 4770, 12818, 99, 595, 0, 85, 2.72, 0
23, 158, 4800, 12893, 99, 595, 0, 85, 2.78, 0
23, 159, 4830, 12973, 99, 595, 0, 85, 2.66, 0
23, 160, 4860, 13047, 99, 595, 0, 85, 2.57, 0
23, 161, 4890, 13119, 99, 595, 0, 85, 2.53, 0
23, 162, 4920, 13198, 99, 595, 0, 85, 2.48, 0
23, 163, 4950, 13273, 99, 595, 0, 85, 2.49, 0
23, 164, 4980, 13353, 99, 595, 0, 85, 2.59, 0
24, 165, 5010, 13427, 99, 595, 0, 85, 2.56, 0
24, 166, 5040, 13519, 99, 595, 0, 85, 2.72, 0
24, 167, 5070, 13605, 99, 595, 0, 85, 2.85, 0
24, 168, 5100, 13677, 99, 595, 0, 85, 2.77, 0
24, 169, 5130, 13743, 99, 595, 0, 85, 2.48, 0
24, 170, 5160, 13836, 99, 595, 0, 85, 2.6, 0
24, 171, 5190, 13906, 99, 595, 0, 85, 2.49, 0
24, 172, 5220, 13986, 99, 595, 0, 85, 2.61, 0
25, 173, 5250, 14064, 99, 595, 0, 85, 2.6, 0
25, 174, 5280, 14141, 99, 595, 0, 85, 2.52, 0
25, 175, 5310, 14217, 99, 595, 0, 85, 2.61, 0
25, 176, 5340, 14288, 100, 595, 0, 85, 2.58, 0
25, 177, 5370, 14367, 99, 595, 0, 85, 2.5, 0
25, 178, 5400, 14448, 99, 595, 0, 85, 2.56, 0
25, 179, 5430, 14519, 99, 595, 0, 85, 2.56, 0
25, 180, 5460, 14582, 99, 595, 0, 85, 2.35, 0
25, 181, 5490, 14647, 99, 595, 0, 85, 2.24, 0
26, 182, 5520, 14719, 99, 595, 0, 85, 2.25, 0
26, 183, 5550, 14798, 99, 595, 0, 85, 2.33, 0
26, 184, 5580, 14879, 99, 595, 0, 85, 2.56, 0
26, 185, 5610, 14957, 99, 595, 0, 85, 2.71, 0
26, 186, 5640, 15031, 99, 595, 0, 85, 2.67, 0
26, 187, 5670, 15104, 99, 595, 0, 85, 2.51, 0
26, 188, 5700, 15168, 99, 595, 0, 85, 2.36, 0
27, 189, 5730, 15249, 99, 595, 0, 85, 2.41, 0
27, 190, 5760, 15335, 99, 595, 0, 85, 2.57, 0
27, 191, 5790, 15396, 99, 595, 0, 85, 2.49, 0
27, 192, 5820, 15470, 99, 595, 0, 85, 2.51, 0
27, 193, 5850, 15541, 99, 595, 0, 85, 2.46, 0
27, 194, 5880, 15613, 99, 595, 0, 85, 2.37, 0
27, 195, 5910, 15678, 99, 595, 0, 85, 2.35, 0
27, 196, 5940, 15757, 99, 595, 0, 85, 2.36, 0
27, 197, 5970, 15842, 99, 595, 0, 85, 2.58, 0
28, 198, 6000, 15927, 99, 595, 0, 85, 2.74, 0
28, 199, 6030, 16012, 99, 595, 0, 85, 2.89, 0
28, 200, 6060, 16077, 99, 595, 0, 85, 2.69, 0
28, 201, 6090, 16143, 99, 595, 0, 85, 2.48, 0
28, 202, 6120, 16219, 99, 595, 0, 85, 2.44, 0
28, 203, 6150, 16296, 99, 595, 0, 85, 2.38, 0
28, 204, 6180, 16364, 99, 595, 0, 85, 2.49, 0
29, 205, 6210, 16449, 99, 595, 0, 85, 2.54, 0
29, 206, 6240, 16539, 99, 595, 0, 85, 2.71, 0
29, 207, 6270, 16605, 99, 595, 0, 85, 2.62, 0
29, 208, 6300, 16688, 99, 595, 0, 85, 2.72, 0
29, 209, 6330, 16771, 99, 595, 0, 85, 2.7, 0
29, 210, 6360, 16840, 99, 595, 0, 85, 2.55, 0
29, 211, 6390, 16917, 99, 595, 0, 85, 2.61, 0
29, 212, 6420, 16996, 99, 595, 0, 85, 2.54, 0
29, 213, 6450, 17075, 99, 595, 0, 85, 2.58, 0
30, 214, 6480, 17149, 99, 595, 0, 85, 2.62, 0
30, 215, 6510, 17228, 99, 595, 0, 85, 2.6, 0
30, 216, 6540, 17292, 99, 595, 0, 85, 2.45, 0
30, 217, 6570, 17366, 99, 595, 0, 85, 2.42, 0
30, 218, 6600, 17429, 99, 595, 0, 85, 2.35, 0
30, 219, 6630, 17499, 99, 595, 0, 85, 2.29, 0
30, 220, 6660, 17565, 99, 595, 0, 85, 2.2, 0
30, 221, 6690, 17641, 99, 595, 0, 85, 2.35, 0
31, 222, 6720, 17704, 99, 595, 0, 85, 2.27, 0
31, 223, 6750, 17766, 99, 595, 0, 85, 2.25, 0
31, 224, 6780, 17840, 99, 595, 0, 85, 2.22, 0
31, 225, 6810, 17904, 99, 595, 0, 85, 2.23, 0
31, 226, 6840, 17981, 99, 595, 0, 85, 2.35, 0
31, 227, 6870, 18046, 99, 595, 0, 85, 2.34, 0
31, 228, 6900, 18124, 99, 595, 0, 85, 2.46, 0
31, 229, 6930, 18202, 99, 595, 0, 85, 2.48, 0
32, 230, 6960, 18290, 99, 595, 0, 85, 2.61, 0
32, 231, 6990, 18385, 99, 595, 0, 85, 2.96, 0
32, 232, 7020, 18464, 99, 595, 0, 85, 2.89, 0
32, 233, 7050, 18542, 99, 595, 0, 85, 2.9, 0
32, 234, 7080, 18619, 99, 595, 0, 85, 2.66, 0
32, 235, 7110, 18704, 99, 595, 0, 85, 2.72, 0
32, 236, 7140, 18768, 99, 595, 0, 85, 2.52, 0
32, 237, 7170, 18835, 99, 595, 0, 85, 2.49, 0
33, 238, 7200, 18904, 99, 595, 0, 85, 2.37, 0
33, 239, 7230, 18981, 99, 595, 0, 85, 2.31, 0
33, 240, 7260, 19045, 99, 595, 0, 85, 2.28, 0
33, 241, 7290, 19136, 99, 595, 0, 85, 2.59, 0
33, 242, 7320, 19202, 99, 595, 0, 85, 2.51, 0
33, 243, 7350, 19276, 99, 595, 0, 85, 2.53, 0
33, 244, 7380, 19352, 99, 595, 0, 85, 2.54, 0
33, 245, 7410, 19441, 99, 595, 0, 85, 2.6, 0
33, 246, 7440, 19525, 99, 595, 0, 85, 2.74, 0
34, 247, 7470, 19615, 99, 595, 0, 85, 2.89, 0
34, 248, 7500, 19689, 99, 595, 0, 85, 2.78, 0
34, 249, 7530, 19767, 99, 595, 0, 85, 2.72, 0
34, 250, 7560, 19849, 99, 595, 0, 85, 2.69, 0
34, 251, 7590, 19922, 99, 595, 0, 85, 2.51, 0
34, 252, 7620, 20009, 99, 595, 0, 85, 2.69, 0
34, 253, 7650, 20091, 99, 595, 0, 85, 2.7, 0
35, 254, 7680, 20169, 99, 595, 0, 85, 2.68, 0
35, 255, 7710, 20254, 99, 595, 0, 85, 2.83, 0
35, 256, 7740, 20338, 99, 595, 0, 85, 2.7, 0
35, 257, 7770, 20428, 99, 595, 0, 85, 2.91, 0
35, 258, 7800, 20516, 99, 595, 0, 85, 2.97, 0
35, 259, 7830, 20585, 99, 595, 0, 85, 2.84, 0
35, 260, 7860, 20670, 99, 595, 0, 85, 2.74, 0
35, 261, 7890, 20728, 99, 595, 0, 85, 2.5, 0
36, 262, 7920, 20804, 99, 595, 0, 85, 2.48, 0
36, 263, 7950, 20879, 99, 595, 0, 85, 2.45, 0
36, 264, 7980, 20955, 99, 595, 0, 85, 2.48, 0
36, 265, 8010, 21023, 99, 595, 0, 85, 2.48, 0
36, 266, 8040, 21090, 99, 595, 0, 85, 2.41, 0
36, 267, 8070, 21163, 99, 595, 0, 85, 2.4, 0
36, 268, 8100, 21239, 99, 595, 0, 85, 2.41, 0
36, 269, 8130, 21304, 99, 595, 0, 85, 2.37, 0
36, 270, 8160, 21380, 99, 595, 0, 85, 2.45, 0
36, 271, 8190, 21452, 99, 595, 0, 85, 2.42, 0
37, 272, 8220, 21534, 99, 595, 0, 85, 2.49, 0
37, 273, 8250, 21597, 99, 595, 0, 85, 2.49, 0
37, 274, 8280, 21673, 99, 595, 0, 85, 2.42, 0
37, 275, 8310, 21747, 99, 595, 0, 85, 2.44, 0
37, 276, 8340, 21813, 99, 595, 0, 85, 2.36, 0
37, 277, 8370, 21881, 99, 595, 0, 85, 2.31, 0
37, 278, 8400, 21954, 99, 595, 0, 85, 2.29, 0
37, 279, 8430, 22026, 99, 595, 0, 85, 2.37, 0
37, 280, 8460, 22094, 99, 595, 0, 85, 2.33, 0
38, 281, 8490, 22157, 99, 595, 0, 85, 2.3, 0
38, 282, 8520, 22224, 99, 595, 0, 85, 2.24, 0
38, 283, 8550, 22294, 99, 595, 0, 85, 2.23, 0
38, 284, 8580, 22355, 99, 595, 0, 85, 2.24, 0
38, 285, 8610, 22422, 99, 595, 0, 85, 2.21, 0
38, 286, 8640, 22490, 99, 595, 0, 85, 2.17, 0
38, 287, 8670, 22563, 99, 595, 0, 85, 2.29, 0
38, 288, 8700, 22642, 99, 595, 0, 85, 2.35, 0
38, 289, 8730, 22719, 99, 595, 0, 85, 2.54, 0
39, 290, 8760, 22782, 99, 595, 0, 85, 2.41, 0
39, 291, 8790, 22847, 99, 595, 0, 85, 2.37, 0
39, 292, 8820, 22912, 99, 595, 0, 85, 2.26, 0
39, 293, 8850, 22972, 99, 595, 0, 85, 2.07, 0
39, 294, 8880, 23039, 99, 595, 0, 85, 2.15, 0
39, 295, 8910, 23114, 99, 595, 0, 85, 2.23, 0
39, 296, 8940, 23182, 99, 595, 0, 85, 2.34, 0
39, 297, 8970, 23259, 99, 595, 0, 85, 2.43, 0
39, 298, 9000, 23329, 99, 595, 0, 85, 2.43, 0
39, 299, 9030, 23409, 99, 595, 0, 85, 2.46, 0
40, 300, 9060, 23470, 99, 595, 0, 85, 2.37, 0
40, 301, 9090, 23542, 99, 595, 0, 85, 2.36, 0
40, 302, 9120, 23613, 99, 595, 0, 85, 2.29, 0
40, 303, 9150, 23684, 99, 595, 0, 85, 2.36, 0
40, 304, 9180, 23755, 99, 595, 0, 85, 2.41, 0
40, 305, 9210, 23822, 99, 595, 0, 85, 2.32, 0
40, 306, 9240, 23886, 99, 595, 0, 85, 2.28, 0
40, 307, 9270, 23947, 99, 595, 0, 85, 2.2, 0
40, 308, 9300, 24006, 99, 595, 0, 85, 2.08, 0
40, 309, 9330, 24063, 99, 595, 0, 85, 1.96, 0
41, 310, 9360, 24127, 99, 595, 0, 85, 1.97, 0
41, 311, 9390, 24206, 99, 595, 0, 85, 2.21, 0
41, 312, 9420, 24280, 99, 595, 0, 85, 2.34, 0
41, 313, 9450, 24349, 99, 595, 0, 85, 2.4, 0
41, 314, 9480, 24425, 99, 595, 0, 85, 2.56, 0
41, 315, 9510, 24496, 99, 595, 0, 85, 2.4, 0
41, 316, 9540, 24563, 99, 595, 0, 85, 2.37, 0
41, 317, 9570, 24634, 99, 595, 0, 85, 2.34, 0
42, 318, 9600, 24702, 99, 595, 0, 85, 2.32, 0
42, 319, 9630, 24758, 99, 595, 0, 85, 2.14, 0
42, 320, 9660, 24817, 99, 595, 0, 85, 2.07, 0
42, 321, 9690, 24882, 99, 595, 0, 85, 2.03, 0
42, 322, 9720, 24959, 99, 595, 0, 85, 2.16, 0
42, 323, 9750, 25030, 99, 595, 0, 85, 2.36, 0
42, 324, 9780, 25091, 99, 595, 0, 85, 2.35, 0
42, 325, 9810, 25150, 99, 595, 0, 85, 2.14, 0
42, 326, 9840, 25224, 99, 595, 0, 85, 2.22, 0
42, 327, 9870, 25289, 99, 595, 0, 85, 2.2, 0
42, 328, 9900, 25356, 99, 595, 0, 85, 2.27, 0
43, 329, 9930, 25409, 99, 595, 0, 85, 2.15, 0
43, 330, 9960, 25479, 99, 595, 0, 85, 2.09, 0
43, 331, 9990, 25544, 99, 595, 0, 85, 2.12, 0
43, 332, 10020, 25616, 99, 595, 0, 85, 2.23, 0
43, 333, 10050, 25678, 99, 595, 0, 85, 2.28, 0
43, 334, 10080, 25737, 99, 595, 0, 85, 2.12, 0
43, 335, 10110, 25807, 99, 595, 0, 85, 2.21, 0
43, 336, 10140, 25875, 99, 595, 0, 85, 2.19, 0
44, 337, 10170, 25940, 99, 595, 0, 85, 2.23, 0
44, 338, 10200, 25998, 99, 595, 0, 85, 2.21, 0
44, 339, 10230, 26054, 99, 595, 0, 85, 2.01, 0
44, 340, 10260, 26120, 99, 595, 0, 85, 2.06, 0
44, 341, 10290, 26191, 99, 595, 0, 85, 2.11, 0
44, 342, 10320, 26267, 99, 595, 0, 85, 2.31, 0
44, 343, 10350, 26332, 99, 595, 0, 85, 2.36, 0
44, 344, 10380, 26389, 99, 595, 0, 85, 2.22, 0
44, 345, 10410, 26445, 99, 595, 0, 85, 2.08, 0
44, 346, 10440, 26518, 99, 595, 0, 85, 2.11, 0
45, 347, 10470, 26587, 99, 595, 0, 85, 2.18, 0
45, 348, 10500, 26647, 99, 595, 0, 85, 2.18, 0
45, 349, 10530, 26722, 99, 595, 0, 85, 2.33, 0
45, 350, 10560, 26779, 99, 595, 0, 85, 2.17, 0
45, 351, 10590, 26844, 99, 595, 0, 85, 2.18, 0
45, 352, 10620, 26917, 99, 595, 0, 85, 2.26, 0
45, 353, 10650, 26967, 99, 595, 0, 85, 2.07, 0
45, 354, 10680, 27039, 99, 595, 0, 85, 2.21, 0
46, 355, 10710, 27106, 99, 595, 0, 85, 2.17, 0
46, 356, 10740, 27168, 99, 595, 0, 85, 2.17, 0
46, 357, 10770, 27230, 99, 595, 0, 85, 2.24, 0
46, 358, 10800, 27303, 99, 595, 0, 85, 2.19, 0
46, 359, 10830, 27367, 99, 595, 0, 85, 2.21, 0
46, 360, 10860, 27428, 99, 595, 0, 85, 2.19, 0
46, 361, 10890, 27497, 99, 595, 0, 85, 2.24, 0
46, 362, 10920, 27561, 99, 595, 0, 85, 2.15, 0
46, 363, 10950, 27630, 99, 607, 0, 87, 2.22, 0
46, 364, 10980, 27699, 99, 607, 0, 87, 2.26, 0
47, 365, 11010, 27778, 99, 607, 0, 87, 2.37, 0
47, 366, 11040, 27839, 99, 607, 0, 87, 2.35, 0
47, 367, 11070, 27904, 99, 607, 0, 87, 2.3, 0
47, 368, 11100, 27971, 99, 607, 0, 87, 2.28, 0
47, 369, 11130, 28038, 99, 607, 0, 87, 2.19, 0
47, 370, 11160, 28115, 99, 607, 0, 87, 2.36, 0
47, 371, 11190, 28194, 99, 607, 0, 87, 2.5, 0
48, 372, 11220, 28248, 99, 607, 0, 87, 2.36, 0
48, 373, 11250, 28314, 99, 607, 0, 87, 2.28, 0
48, 374, 11280, 28389, 99, 607, 0, 87, 2.33, 0
48, 375, 11310, 28460, 99, 607, 0, 87, 2.3, 0
48, 376, 11340, 28521, 99, 607, 0, 87, 2.31, 0
48, 377, 11370, 28592, 99, 607, 0, 87, 2.33, 0
48, 378, 11400, 28665, 99, 607, 0, 87, 2.3, 0
48, 379, 11430, 28730, 99, 607, 0, 87, 2.32, 0
48, 380, 11460, 28791, 99, 607, 0, 87, 2.21, 0
49, 381, 11490, 28861, 99, 607, 0, 87, 2.31, 0
49, 382, 11520, 28913, 99, 607, 0, 87, 2.05, 0
49, 383, 11550, 28977, 99, 607, 0, 87, 2.12, 0
49, 384, 11580, 29041, 99, 607, 0, 87, 2.07, 0
49, 385, 11610, 29104, 99, 607, 0, 87, 2.07, 0
49, 386, 11640, 29173, 99, 607, 0, 87, 2.21, 0
49, 387, 11670, 29233, 99, 607, 0, 87, 2.14, 0
49, 388, 11700, 29295, 99, 607, 0, 87, 2.07, 0
49, 389, 11730, 29363, 99, 610, 0, 87, 2.17, 0
49, 390, 11760, 29431, 99, 610, 0, 87, 2.12, 0
50, 391, 11790, 29496, 99, 610, 0, 87, 2.22, 0
50, 392, 11820, 29573, 99, 610, 0, 87, 2.36, 0
50, 393, 11850, 29650, 99, 610, 0, 87, 2.4, 0
50, 394, 11880, 29721, 99, 610, 0, 87, 2.45, 0
50, 395, 11910, 29796, 99, 610, 0, 87, 2.46, 0
50, 396, 11940, 29855, 99, 610, 0, 87, 2.41, 0
50, 397, 11970, 29924, 99, 610, 0, 87, 2.27, 0
51, 398, 12000, 30004, 99, 610, 0, 87, 2.34, 0
51, 399, 12030, 30074, 99, 610, 0, 87, 2.42, 0
51, 400, 12060, 30153, 99, 610, 0, 87, 2.46, 0
51, 401, 12090, 30220, 99, 610, 0, 87, 2.51, 0
51, 402, 12120, 30293, 99, 610, 0, 87, 2.44, 0
51, 403, 12150, 30363, 99, 610, 0, 87, 2.4, 0
51, 404, 12180, 30432, 99, 610, 0, 87, 2.31, 0
51, 405, 12210, 30494, 99, 610, 0, 87, 2.28, 0
52, 406, 12240, 30565, 99, 610, 0, 87, 2.29, 0
52, 407, 12270, 30630, 99, 610, 0, 87, 2.19, 0
52, 408, 12300, 30691, 99, 610, 0, 87, 2.15, 0
52, 409, 12330, 30765, 99, 610, 0, 87, 2.26, 0
52, 410, 12360, 30834, 99, 610, 0, 87, 2.23, 0
52, 411, 12390, 30900, 99, 610, 0, 87, 2.29, 0
52, 412, 12420, 30965, 99, 610, 0, 87, 2.24, 0
52, 413, 12450, 31034, 99, 610, 0, 87, 2.24, 0
53, 414, 12480, 31114, 99, 610, 0, 87, 2.35, 0
53, 415, 12510, 31183, 99, 610, 0, 87, 2.41, 0
53, 416, 12540, 31239, 99, 610, 0, 87, 2.23, 0
53, 417, 12570, 31299, 99, 610, 0, 87, 2.16, 0
53, 418, 12600, 31376, 99, 610, 0, 87, 2.18, 0
53, 419, 12630, 31449, 99, 610, 0, 87, 2.31, 0
53, 420, 12660, 31514, 99, 610, 0, 87, 2.32, 0
54, 421, 12690, 31570, 99, 610, 0, 87, 2.21, 0
54, 422, 12720, 31640, 99, 610, 0, 87, 2.12, 0
